#  Sample no 6 : HeP41_MOM_0-5
#  Number of scans: 3162
#  B=	144 - -1	282 - -1	1848 - -1	0 - 0	0 - 0	0 - 0
#  P=	190 - 277	282 - 1842	1895 - 3152	0 - 0	0 - 0	0 - 0
# 
#t [s]	Oxid.tube C	Postcomb.tube C	Flow N<sub>2</sub> ml/min	Flow lance ml/min	Input mbar	Output mbar	IR detect. unit
0	62	796	581	146	1135	1125	0
1	62	795	581	146	1135	1125	996
2	62	795	581	146	1134	1126	992
3	62	795	581	146	1134	1126	991
4	62	795	581	146	1134	1126	990
5	62	795	581	146	1135	1126	989
6	62	794	581	146	1135	1126	989
7	62	794	580	146	1136	1126	989
8	63	794	580	146	1135	1125	990
9	63	793	580	146	1135	1125	990
10	63	793	580	146	1134	1125	990
11	63	793	580	146	1135	1125	991
12	63	793	580	146	1135	1125	992
13	63	793	580	146	1135	1125	991
14	63	794	580	146	1135	1125	990
15	63	794	580	146	1135	1125	989
16	63	794	580	146	1135	1126	989
17	64	794	580	146	1135	1126	989
18	64	795	580	146	1135	1126	989
19	64	795	580	146	1135	1126	989
20	64	795	581	146	1135	1126	988
21	64	795	581	146	1135	1126	988
22	64	795	581	146	1134	1126	986
23	64	795	581	146	1135	1126	986
24	64	795	581	146	1135	1126	985
25	64	795	581	146	1135	1125	984
26	64	796	581	146	1135	1125	983
27	65	796	581	146	1135	1126	982
28	65	796	581	146	1135	1126	980
29	65	797	581	146	1135	1126	978
30	65	797	581	146	1135	1126	980
31	65	798	581	146	1135	1126	980
32	66	798	581	146	1135	1126	980
33	66	798	581	146	1135	1126	981
34	66	799	581	146	1135	1126	982
35	66	799	581	146	1135	1126	982
36	66	799	581	146	1135	1126	982
37	66	800	580	146	1135	1126	982
38	66	800	580	146	1135	1126	983
39	66	800	580	146	1135	1126	984
40	66	800	580	146	1135	1126	984
41	66	800	580	146	1135	1126	984
42	66	800	580	146	1135	1126	985
43	67	800	580	146	1135	1126	986
44	67	800	580	146	1135	1126	986
45	67	800	581	146	1134	1126	988
46	67	800	581	146	1134	1126	989
47	67	800	581	146	1134	1126	991
48	67	800	581	146	1135	1126	992
49	67	800	581	146	1135	1126	994
50	67	800	581	146	1135	1126	994
51	67	800	581	146	1135	1126	996
52	67	799	581	146	1135	1126	998
53	67	799	581	146	1135	1126	999
54	68	799	581	146	1135	1126	1000
55	68	798	581	146	1135	1126	1000
56	68	798	581	146	1135	1126	1000
57	68	798	581	146	1135	1126	1000
58	68	798	581	146	1135	1126	1001
59	68	798	580	146	1134	1126	1001
60	68	798	580	146	1135	1126	1001
61	68	797	580	146	1135	1126	1001
62	68	797	580	146	1135	1126	1002
63	68	796	580	146	1135	1126	1002
64	68	796	580	146	1135	1126	1003
65	68	796	580	146	1135	1126	1006
66	68	796	580	146	1135	1126	1008
67	68	795	581	146	1135	1126	1011
68	68	795	581	146	1135	1126	1013
69	68	795	581	146	1135	1126	1016
70	68	794	581	146	1134	1126	1019
71	68	794	581	146	1135	1126	1021
72	68	794	580	146	1135	1126	1023
73	69	794	580	146	1135	1126	1026
74	69	794	580	146	1135	1126	1029
75	69	794	580	146	1135	1126	1032
76	69	794	580	146	1134	1126	1035
77	69	794	580	146	1135	1126	1037
78	69	794	580	146	1135	1126	1039
79	69	794	580	146	1135	1126	1041
80	69	793	580	146	1134	1125	1044
81	69	793	579	147	1126	1122	1046
82	69	793	561	150	1087	1097	1049
83	69	794	527	152	973	1038	1051
84	69	794	483	149	803	955	1053
85	69	795	431	144	609	853	1054
